indice_tiempo,eph_continua_tasa_desempleo_total,eph_continua_tasa_desempleo_total_gba,eph_continua_tasa_desempleo_total_cuyo,eph_continua_tasa_desempleo_total_nordeste,eph_continua_tasa_desempleo_total_noroeste,eph_continua_tasa_desempleo_total_region_pampeana,eph_continua_tasa_desempleo_total_patagonia,eph_continua_tasa_desempleo_total_caba,eph_continua_tasa_desempleo_total_partidos_gba,eph_continua_tasa_desempleo_total_gran_mendoza,eph_continua_tasa_desempleo_total_gran_san_juan,eph_continua_tasa_desempleo_total_san_luis,eph_continua_tasa_desempleo_total_corrientes,eph_continua_tasa_desempleo_total_formosa,eph_continua_tasa_desempleo_total_gran_resistencia,eph_continua_tasa_desempleo_total_posadas,eph_continua_tasa_desempleo_total_gran_tucuman,eph_continua_tasa_desempleo_total_gran_catamarca,eph_continua_tasa_desempleo_total_jujuy,eph_continua_tasa_desempleo_total_la_rioja,eph_continua_tasa_desempleo_total_salta,eph_continua_tasa_desempleo_total_santiago_del_estero,eph_continua_tasa_desempleo_total_gran_cordoba,eph_continua_tasa_desempleo_total_gran_la_plata,eph_continua_tasa_desempleo_total_gran_rosario,eph_continua_tasa_desempleo_total_mar_del_plata,eph_continua_tasa_desempleo_total_concordia,eph_continua_tasa_desempleo_total_bahia_blanca,eph_continua_tasa_desempleo_total_gran_parana,eph_continua_tasa_desempleo_total_gran_santa_fe,eph_continua_tasa_desempleo_total_rio_cuarto,eph_continua_tasa_desempleo_total_santa_rosa,eph_continua_tasa_desempleo_total_san_nicolas,eph_continua_tasa_desempleo_total_comodoro_rivadavia,eph_continua_tasa_desempleo_total_neuquen,eph_continua_tasa_desempleo_total_rio_gallegos,eph_continua_tasa_desempleo_total_ushuaia_rio_grande,eph_continua_tasa_desempleo_total_rawson_trelew,eph_continua_tasa_desempleo_total_viedma_carmen_patagones
2006-01-01,0.1130833634825018,0.12325425630435992,0.07515649386992997,0.06991815491756218,0.11440310985226092,0.10761356477481268,0.08315360746292784,0.08962341322309314,0.1346582416851805,0.07223143541551502,0.10875602982020173,0.010749035498507753,0.08403686014681584,0.050578924017117256,0.053770841711263034,0.08565942857142857,0.13307031924612361,0.10708645751731513,0.09497888315344909,0.06670101912286729,0.13382754954818132,0.08820028965141456,0.09634326780807441,0.12525004939247258,0.13914488836201203,0.10433911971925312,0.09464561067687563,0.07673554333283782,0.07096452227565557,0.08542758191990055,0.10619729358697784,0.061852656197794856,,0.08272306328199402,0.1033469169617209,0.013738113837782506,0.0927409039926012,,
2006-04-01,0.10324909838759416,0.11191008981144215,0.06581036524381739,0.06465723725196058,0.10276233631556907,0.10068212452741342,0.08371700401425818,0.0880291446780105,0.11999437192614432,0.06529361284786073,0.08965498564696961,0.014332031537838037,0.07037913387993176,0.03727577734921935,0.062049357443420904,0.08003642157978602,0.1154111717185666,0.10659228678929766,0.05722979739619444,0.07114759472232086,0.11944858350436241,0.1050969160882762,0.08218044087768199,0.13293897612109087,0.1210218289043193,0.11704164347105867,0.11615865408783954,0.08691879181479718,0.08391276576329958,0.056458316787123076,0.08592043516861375,0.02251638983725363,,0.06663206384221113,0.10858439843621896,0.020045636332409158,0.09818682666364785,,
2006-07-01,0.10094598152218148,0.11166582439960168,0.046860942695090946,0.058093664006089465,0.09864449300825333,0.1002716136094712,0.07793533335763496,0.08912251515843259,0.11945389836777942,0.03699232284982622,0.0786184957964099,0.0224244551208355,0.07390560225154984,0.046194040211533366,0.05813613163436485,0.048326946763377586,0.1068608474827052,0.112560708503952,0.06347502003532442,0.08786703295186295,0.020710887209627764,0.06612727555624709,0.10274480411290703,0.12075846078387657,0.10654575868292468,0.11452837648085286,0.09550950204880022,0.09943553816220695,0.04664326539613695,0.07462709534459057,0.0741655916713603,0.12004868540090842,,0.06679837416805662,0.09025013693627898,0.08289812735114578,0.06628247782002535,,
2006-10-01,0.08624367381020245,0.097150960506273,0.041461638673409976,0.04693008339245733,0.08915084092940871,0.08051239356371183,0.06280159646219527,0.06406033510345148,0.10825723480728826,0.03609583721253208,0.06294777463062792,0.018420291252772687,0.056439931021268444,0.0417750905658452,0.045567044747111256,0.041054984354045594,0.09273527382015792,0.1118639499123957,0.07960041886209132,0.06873151209326606,0.11641162950040576,0.046478652453970246,0.06750624905192484,0.09706155464065157,0.09306508407377502,0.06743281664342929,0.06287748955924194,0.0981347247616914,0.06724239671047086,0.08734961650087941,0.07794564370009946,0.0516024324905653,0.06697422417723896,0.058750228454649674,0.07148661733176569,0.011632684505161523,0.05067193384036033,0.0876782708831606,0.07700647581094149
2007-01-01,0.09689335538228265,0.1092191426086873,0.0479904742525981,0.05474490939104748,0.10335035588601063,0.08966479628033515,0.05887056915806367,0.07906096575218143,0.11954082682211757,0.041924487006863444,0.07213107747867106,0.02147231564680488,0.06380867397959969,0.03720882025237737,0.06978589070448338,0.03932688387264168,0.11890142363192666,0.13442378257354312,0.07946819492400242,0.07985764740772694,0.10343760857046312,0.0798824530648763,0.09251293958001998,0.08003856208968742,0.10115340763458631,0.09029321953598068,0.07942101081286489,0.08374571209636414,0.06236275001139004,0.0856614605146225,0.09489869902461046,0.06931613863227726,0.09956233456508636,0.04205436051359013,0.06094979600894488,0.015966748612413515,0.08635706541380557,0.059762601684414676,0.08613587457731325
2007-04-01,0.08287783693364445,0.08703596613110759,0.045685630348860626,0.04991609687680016,0.09308276866102924,0.08703420614321153,0.061809527785896205,0.06203129631459342,0.09578450684354069,0.03383465374124096,0.08404713585012083,0.016360230878024542,0.05099336722043144,0.038196538318428515,0.05556332869688315,0.050713182356076275,0.09508050560180298,0.10632760800059483,0.08469848950719962,0.09451750595056048,0.10607409793204058,0.06776545076410923,0.07476367666851397,0.07637424494391012,0.10556419700635176,0.11125346046313533,0.05698977967959826,0.08880190171949637,0.05772827059110497,0.0935492450591268,0.09754781623458955,0.04493486292047443,0.070303697633924,0.057134280568341,0.06472087912087912,0.02676714540872501,0.07787382610481507,0.06951108359559063,0.06402790415529269
2007-07-01,0.081,,0.053,0.047,0.078,,0.063,,,0.058,0.062,0.013,0.053,0.031,0.065,0.032,0.08,0.091,0.059,0.087,0.089,0.064,0.086,,0.104,,0.067,,0.058,0.073,0.089,0.057,0.084,0.056,0.073,0.024,0.06,0.08,0.069
2007-10-01,0.07522466866661506,0.07792854948057223,0.04344725018882322,0.04459515508872622,0.08107342022391648,0.08374319072221269,0.04806631053816608,0.06264422184303359,0.08330805027982506,0.030110817746697008,0.0841515574662723,0.014645526945815215,0.04367475777584573,0.03078567332255878,0.05708477686551817,0.041106115576232054,0.0816757073431339,0.09229730762372959,0.08432481018047638,0.06404000160434242,0.0972196252944916,0.05477165940866376,0.08527314853229337,0.07113939680164327,0.08814586502420503,0.10762080613668987,0.062144068553066145,0.0944413334826595,0.044834577458298774,0.09119372245133579,0.07086421098517873,0.05255621844882974,0.06852687730816578,0.025449837763429583,0.05563287175561896,0.017413301896060517,0.05279441298330047,0.052591304347826086,0.08561279941710434
2008-01-01,0.08310571629433772,0.08952112622586961,0.0485438962707849,0.0532310212527482,0.0907732938057162,0.08242503382645999,0.06022371986382269,0.0645359863087936,0.09829858604307654,0.04467243014054505,0.07121414820373935,0.015268903758112391,0.06747916997588482,0.026661733875940313,0.0426136817390471,0.06591118945689582,0.11321553274785737,0.08935221512286863,0.08666234127351932,0.07511860486509929,0.08630808830903386,0.05787729536967625,0.09352344946818385,0.08796684193971313,0.07809450794535824,0.07563893676613163,0.07002282571577491,0.08508172768952835,0.04765367994655346,0.09270498521840838,0.08756337947929128,0.0443610399121201,0.07668471063222455,0.047748684188816844,0.05669127967291145,0.019748348231636223,0.05023078504288678,0.08748635867588214,0.11370028123744476
2008-04-01,0.07954059900313855,0.08397523025379491,0.04514770309842254,0.05949755395558149,0.07464114638551653,0.08463425923236173,0.06923839989299925,0.054238397757572485,0.09424889714367403,0.039701468779765194,0.0695851787836232,0.01585773140586529,0.0880398908431084,0.026307902794970358,0.0513871543606678,0.056020059428734593,0.07460347680906841,0.09445784912349812,0.07966372125796758,0.07224696052434082,0.073730432524668,0.062016894876325085,0.062451151065673415,0.08671156661786238,0.09382606995232669,0.1056011428770536,0.06507607312779937,0.07995256249818107,0.044838765969562544,0.1289426569858898,0.08935185804260326,0.059546641825122835,0.08042469484515283,0.05087904075184315,0.0889213880764092,0.02132678605815521,0.05966430632048256,0.07834570370760295,0.0963680668368531
2008-07-01,0.07774917567620883,0.08431290083443932,0.04349887455292823,0.04341014342007018,0.0741376659059409,0.08062175874238325,0.061984687050619346,0.047625156447553926,0.09696358017206035,0.03787656827147446,0.07010764262648009,0.010098837139818101,0.05735501670224612,0.03173476498980461,0.0334721808985421,0.04589522852564973,0.07853190887428653,0.07678566935869374,0.07272667548102586,0.05767579492463573,0.0870669001105787,0.052734240381566794,0.05717577920630731,0.08480630150296223,0.0935625284409661,0.09602575124195274,0.06985222200487258,0.060613342143994234,0.07579821370086129,0.11876724887303404,0.07003157161015212,0.0435563289030395,0.07909798972554719,0.049351549351549354,0.07632140317610808,0.012472885032537961,0.06972647026771768,0.06394508670520231,0.08391608391608392
2008-10-01,0.07278622275069924,0.07651337905630332,0.04227078678888511,0.032723312823958316,0.08197204789201648,0.07814310841496666,0.04934580553876512,0.05408416313761398,0.08408573444065709,0.039754879780720453,0.060331880288655264,0.010825354318773212,0.05613397754931522,0.024527065760379985,0.02319083994121542,0.019477177050204974,0.09731741904987001,0.0836076366030283,0.04438859617933219,0.059780920350635494,0.11656187729179367,0.03326454749756187,0.07623097958815422,0.07069524166101304,0.07501996185455218,0.10124048565935369,0.05213173693314792,0.09949800762914959,0.058511575460728,0.0917036445665695,0.0541972344791513,0.037823765775623006,0.0832864306180925,0.03645070515246762,0.05838861306391521,0.02209310666379743,0.041451460885956644,0.04214990936449552,0.09611746435126359
2009-01-01,0.08361046824143,0.08528295736862818,0.05793474076701865,0.047977977034570886,0.09130362176599466,0.0913767797736062,0.06974257861922427,0.07788140428995051,0.08779278200023388,0.05869996107976586,0.06858356377858922,0.02736130494347208,0.0663688762906881,0.02099373780925983,0.039941622618966596,0.05387378614017842,0.11275427265937349,0.09976580796252928,0.066533634804777,0.07644938619708194,0.09987142327892432,0.05090796548075747,0.08899767298876964,0.06795586774106471,0.10553295787278731,0.08615907260182817,0.06608194160759341,0.10950712352336389,0.0882706055700071,0.12074744624096984,0.07420838742450754,0.029994193380453716,0.0915841271046007,0.05313804107683496,0.07108981725773296,0.026534788540245567,0.07957309599683215,0.08115562785105555,0.11621756633657547
2009-04-01,0.08739179025647341,0.08824090373491678,0.069601930948904,0.03848749080366199,0.08383965043423128,0.10059578526319335,0.08164270935424153,0.05587614825976009,0.07161219149917325,0.08706361105161704,0.019938198940553268,0.05476004068223225,0.04353552170563825,0.02054590259138924,0.035491314380251646,0.0966495752569578,0.08402938041071659,0.10498641101878331,0.06774398419307036,0.07109144542772862,0.09961519725051508,0.04835153714372457,0.0970466796737124,0.07496956147688608,0.10522812921861947,0.14489798669479587,0.08824090373491678,0.06251567489842666,0.07590844088361476,0.11309348619267191,0.09244756745159041,0.0547713571533598,0.09853581321725366,0.06460759493670887,0.09511913912375096,0.0260187741579238,0.118097068716963,0.06375409136188985,0.11541264612424569
2009-07-01,0.09087527355184064,0.09834025870738974,0.06396531921321108,0.03952613173485381,0.07866182076486412,0.09649787944748008,0.06701818374773437,0.07661703705617373,0.1056522025916436,0.06401658838141916,0.08072900908235735,0.027046546058570757,0.04795854617617875,0.03664408100667513,0.02875638091192965,0.0434375568866428,0.10000648422500824,0.0864346341218422,0.060217160716743726,0.0580090968507823,0.06972891083761654,0.06140350877192982,0.10818658603380878,0.0603671503175315,0.10301231785492689,0.11635623043228113,0.06932732764189319,0.08143299399967413,0.06444576814590304,0.13044298699804396,0.09632810030555262,0.031111909466499013,0.0820452959802501,0.03252580795766976,0.06692362218678008,0.037340416034282654,0.09279420366422007,0.08382857245453076,0.09750265674814028
2009-10-01,0.08372178129702754,0.09074582918108388,0.06542574102329672,0.03191508023172694,0.07316328991205838,0.08768392021235925,0.060630229874661164,0.060275915899545306,0.10111232578877297,0.06798725910813758,0.0795099883641267,0.020255663713496696,0.05590034740328895,0.020777413261755643,0.017773014133625552,0.02665897489686036,0.08110748733606273,0.09924276059395196,0.05621915569106969,0.05123280560602128,0.08042319241510326,0.05350623722602016,0.09365427468709663,0.07597957645318655,0.10624338951388031,0.09158608695652173,0.05641772006999068,0.09496160723677291,0.05359725000216467,0.07544570502431118,0.10699539620351682,0.027274894990737174,0.058089255119523536,0.02739819390015335,0.06733754321597403,0.0211807223404012,0.09083901259657667,0.056969611506733416,0.10029222345164128
2010-01-01,0.083,0.084,0.062,0.033,0.087,0.094,0.071,0.07200000000000001,0.08800000000000001,0.06,0.083,0.022000000000000002,0.049,0.025,0.035,0.017,0.087,0.1,0.064,0.071,0.111,0.069,0.09300000000000001,0.09300000000000001,0.10800000000000001,0.085,0.106,0.09300000000000001,0.067,0.096,0.10300000000000001,0.036000000000000004,0.086,0.042,0.09,0.026000000000000002,0.09699999999999999,0.057999999999999996,0.09
2010-04-01,0.079,0.081,0.054000000000000006,0.037000000000000005,0.07,0.092,0.057999999999999996,0.055999999999999994,0.09,0.05,0.078,0.015,0.031,0.025,0.042,0.047,0.052000000000000005,0.08900000000000001,0.071,0.038,0.106,0.062,0.084,0.08900000000000001,0.09,0.083,0.105,0.102,0.122,0.114,0.11199999999999999,0.037000000000000005,0.08800000000000001,0.048,0.053,0.013999999999999999,0.08800000000000001,0.077,0.071
2010-07-01,0.075,0.08199999999999999,0.045,0.051,0.071,0.07200000000000001,0.049,0.055,0.092,0.037000000000000005,0.076,0.018000000000000002,0.068,0.022000000000000002,0.05,0.05,0.054000000000000006,0.09,0.05,0.048,0.115,0.055999999999999994,0.07,0.047,0.08,0.08,0.06,0.07400000000000001,0.092,0.065,0.102,0.051,0.07200000000000001,0.034,0.039,0.026000000000000002,0.069,0.07,0.067
2010-10-01,0.073,0.08,0.042,0.03,0.066,0.076,0.053,0.062,0.087,0.038,0.067,0.008,0.037000000000000005,0.023,0.009000000000000001,0.05,0.055999999999999994,0.085,0.040999999999999995,0.068,0.092,0.055,0.075,0.057,0.078,0.087,0.042,0.069,0.11,0.08800000000000001,0.087,0.023,0.078,0.036000000000000004,0.055999999999999994,0.025,0.073,0.07,0.052000000000000005
